allele_name negative positive all
BoLA-2-01201 20 24 44
BoLA-6-01301 10 61 71
BoLA-D18.4 61 145 206
BoLA-HD6 39 175 214
BoLA-JSP.1 102 25 127
BoLA-T2a 96 37 133
BoLA-T2b 95 30 125
DLA-88-50801 22 23 45
Eqca-1-00101 455 87 542
H-2-Db 2754 910 3664
H-2-Dd 323 56 379
H-2-Kb 2380 1476 3856
H-2-Kd 754 460 1214
H-2-Kk 192 260 452
H-2-Ld 246 145 391
HLA-A-0101 3549 614 4163
HLA-A-0201 7886 4779 12665
HLA-A-0202 1856 1484 3340
HLA-A-0203 3124 1920 5044
HLA-A-0205 31 70 101
HLA-A-0206 2702 1817 4519
HLA-A-0207 68 20 88
HLA-A-0211 545 324 869
HLA-A-0212 700 246 946
HLA-A-0216 592 144 736
HLA-A-0217 135 141 276
HLA-A-0219 809 187 996
HLA-A-0250 37 70 107
HLA-A-0301 4538 1784 6322
HLA-A-1101 3645 1941 5586
HLA-A-2301 1620 484 2104
HLA-A-2402 2781 849 3630
HLA-A-2403 839 265 1104
HLA-A-2501 711 56 767
HLA-A-2601 3227 385 3612
HLA-A-2602 380 134 514
HLA-A-2603 380 49 429
HLA-A-2902 1650 576 2226
HLA-A-3001 2051 623 2674
HLA-A-3002 1404 536 1940
HLA-A-3101 3292 1292 4584
HLA-A-3201 579 328 907
HLA-A-3215 12 47 59
HLA-A-3301 2312 566 2878
HLA-A-6601 174 18 192
HLA-A-6801 2087 1288 3375
HLA-A-6802 3391 1062 4453
HLA-A-6901 1858 202 2060
HLA-A-8001 840 97 937
HLA-B-0702 3283 1171 4454
HLA-B-0801 2278 663 2941
HLA-B-0802 786 29 815
HLA-B-0803 361 14 375
HLA-B-1402 245 31 276
HLA-B-1501 2779 1334 4113
HLA-B-1502 46 104 150
HLA-B-1503 251 308 559
HLA-B-1509 632 41 673
HLA-B-1517 855 307 1162
HLA-B-1801 2024 247 2271
HLA-B-2704 45 17 62
HLA-B-2705 2481 634 3115
HLA-B-2706 47 18 65
HLA-B-3501 2218 959 3177
HLA-B-3503 214 15 229
HLA-B-3508 38 93 131
HLA-B-3801 295 127 422
HLA-B-3901 1211 242 1453
HLA-B-4001 2312 500 2812
HLA-B-4002 596 268 864
HLA-B-4201 137 48 185
HLA-B-4402 1516 362 1878
HLA-B-4403 848 342 1190
HLA-B-4501 706 152 858
HLA-B-4601 1388 77 1465
HLA-B-4801 648 58 706
HLA-B-5101 2143 256 2399
HLA-B-5301 1101 406 1507
HLA-B-5401 787 181 968
HLA-B-5701 2011 412 2423
HLA-B-5801 2456 636 3092
HLA-B-5802 44 12 56
HLA-B-7301 89 15 104
HLA-B-8301 239 31 270
HLA-C-0303 34 96 130
HLA-C-0304 165 99 264
HLA-C-0401 424 19 443
HLA-C-0501 84 95 179
HLA-C-0602 257 101 358
HLA-C-0701 449 88 537
HLA-C-0702 60 81 141
HLA-C-0802 44 64 108
HLA-C-1203 13 116 129
HLA-C-1402 57 148 205
HLA-C-1502 108 92 200
HLA-E-0101 65 11 76
Mamu-A-01 1183 878 2061
Mamu-A-02 621 464 1085
Mamu-A-07 372 171 543
Mamu-A-11 690 320 1010
Mamu-A2-0102 92 24 116
Mamu-A-2201 379 172 551
Mamu-A-2601 112 30 142
Mamu-A7-0103 64 17 81
Mamu-B-00101 497 16 513
Mamu-B-01 636 67 703
Mamu-B-01704 793 289 1082
Mamu-B-03 660 247 907
Mamu-B-08 653 243 896
Mamu-B-1001 82 44 126
Mamu-B-17 967 352 1319
Mamu-B-3901 171 195 366
Mamu-B-52 273 439 712
Mamu-B-6601 22 58 80
Mamu-B-8301 170 175 345
Mamu-B-8701 67 56 123
Patr-A-0101 262 100 362
Patr-A-0301 253 49 302
Patr-A-0401 202 59 261
Patr-A-0701 374 114 488
Patr-A-0901 297 225 522
Patr-B-0101 476 153 629
Patr-B-1301 79 121 200
Patr-B-2401 192 67 259
RT1A 96 15 111
SLA-1-0401 80 120 200
SLA-2-0401 64 32 96
SLA-3-0401 37 23 60
